Title,Date,Rating,Comments
FORD V FERRARI,22 January 2021,9/10,"Bale is one of my all time favourite actors, this film shows exactly why that is, he is absolutely incredible, and he is in great company, Damon is equally spot on in the role, as are the supporting cast.I'm not what you'd call a racing fan, but this story is captivating, and as well as the amazing acting and storyline, you are treated to some fabulous music, jaw dropping effects, and some character engagement that I've not seen in a film for some time.This was genuinely brilliant, you don't need to be a racing fan to enjoy, just someone that likes amazing movies. For the many average movies I've seen of late, this is what the film industry should be about. 9/10."
FORD V FERRARI,24 March 2020,10/10,"I have to admit, I never thought that a movie about cars/racing would get to me, the way this movie did. And it is a testament not just to the actors, but the script and the directing and so many other things that make this quite the experience to watch.Bale is quite the actor - I should have known or rather remembered he's British, but I really had forgotten about it, especially with his ability to blend his American accent so good, you just can't tell. But it is not just about accents, it is about gravitas and even more surprisingly about humor! The movie is way funnier than I expected it to be, with one liners coming at you at the speed of ... well you get it.And yes there are cliches and some things surely are exaggerated for good measure and to heighten certain things, but overall this is quite enchanting and quite a great movie. With not just one battlefield, if you'll excuse the use of that word, but multiple ones our main characters have to endure and maybe even prevail (?) - if you are aware of history, you know what's up, I didn't"
FORD V FERRARI,15 February 2020,8/10,"You don't have to be a race car enthusiast to enjoy this film. I'm certainly not, having neither the desire or the patience to watch daring motor cars race around a track at mind boggling speeds. Though you do have to credit the drivers who enjoy the profession; it takes a certain amount of bravura and stamina to withstand the pace and stress forces that go with the territory. Without knowing the story in advance, I thought it was going to pit Matt Damon against Christian Bale as opposing drivers, but that idea was quickly put to rest. The legendary Carroll Shelby (Damon) is in the spotlight here as the former racer and design engineer recruited by the Ford Motor Company to build a championship vehicle. In no small measure was it Ford's response to a snub by Italian car maker, Enzo Ferrari, who turned down a merger with the American company in a fit of pique. Had he gone along, the end result in the picture may never have occurred.The movie will call to mind the Steve McQueen race car epic ""Le Mans"" from 1971. With a half century separating the two films, both reliably capture the spirit and flavor of the world's longest endurance test. ""Le Mans"" has more of a documentary type feel than the movie under consideration here, with less of a plot and straightforward story line. Building up to the seminal race in 1966 featured in this film, the story takes an introspective look at the machinations of the Ford Motor Company to control all aspects of engineering a vehicle they hope to defeat the Italians with. Not to mention the politics and marketing aspect of selecting a driver who wouldn't embarrass the company by going public with any developmental problems along the way.For fans and non-fans alike, the racing scenes are thrilling and adrenaline inducing. As driver Ken Mills, Christian Bale exudes nerves of steel and a soaring passion to be the best driver out there, achieving mind boggling speeds that would otherwise strike fear in the hearts of most mortal men. That was comically illustrated in the one scene in which Shelby himself took Henry Ford II (Tracy Letts) for a 'spin' in a car under development. If there's any sense of a let down with the picture, it would have to be the screw job Mills suffered when he agreed to bring in all three of Ford's race cars to the finish line together at Le Mans. Realizing it, Mills bore the slight with dignity, knowing in his heart that he was the best driver out there that day, and nothing could take that away from him."
FORD V FERRARI,5 July 2020,8/10,"Since I'm not into car racing, James Mangold's Oscar-winning ""Ford v Ferrari"" was all the more impressive. This look at the US car company's efforts to unseat the Italian one as the champion of Le Mans feels energized even when not on the racetrack. We get looks at the inner workings of the car companies, as well as the personal lives of the drivers. It's a tour de force from start to finish. I recommend it."
FORD V FERRARI,21 November 2019,8/10,"In America this movie is titled Ford vs. Ferrari, that is essentially the big hook of the film, film critic Mark Kermode said in his review that this is very similar to Rush, in that the characters come first, and the cars come second (or some people say the other way around). From the trailer I saw I was definitely going to watch it at the cinema, directed by James Mangold (Walk the Line, Knight and Day, Logan). Basically, in1963, Ford Motor Company Vice President Lee Iacocca (Jon Bernthal) proposes to Henry Ford II (Tracy Letts) to purchase the cash-strapped Ferrari in order to boost their car sales by participating in the 24 Hours of Le Mans. However, Enzo Ferrari (Remo Girone) walks away from the deal, after Fiat offer a more lucrative deal that allows him to retain his ownership of Scuderia Ferrari. Henry II is furious and orders his racing division to build a car to defeat Ferrari at Le Mans. For this task, Iacocca hires Shelby American owner and retired racing driver Carroll Shelby (Matt Damon), he won Le Mans in 1959, he was forced to stop due to his heart condition. In turn, Shelby enlists the help of Ken Miles (Golden Globe nominated Christian Bale), a hot-tempered British racer and struggling mechanic. Shelby and Miles test the Ford GT40 Mk I prototype at Los Angeles International Airport, finding all its design flaws and making the necessary improvements until it is ready to race. Ford do not see Miles as their ideal driver, due to his abrasive attitude, they opt to send Phil Hill (James Tyler Paulson) and Bruce McLaren (Benjamin Rigby) to the 1964 Le Mans instead. As predicted by Miles, none of the Ford vehicles finish the race. While Henry II sees this as a humiliating defeat, Shelby explains that the GT40 reached higher speeds than Ferrari, instilling fear in them on the Mulsanne straight, before it broke down. Shelby and Miles continue development on the GT40 Mk II, but Miles is nearly killed when the car's brakes fail during testing. In 1966, Ford Senior Vice President Leo Beebe (Josh Lucas) takes over the racing division and intends again to continue the program without Miles. But Shelby gives Henry II a ride in the car and wages his own company on the line to convince him that if Miles wins the 24 Hours of Daytona, he will be allowed to race at Le Mans. Shelby American enters Daytona, but Beebe has a second Ford entered with NASCAR team Holman-Moody supporting it. While the Holman-Moody team has quicker pit stops, Shelby has Miles push his car to the limit, resulting in him winning the race. At the 1966 Le Mans, Miles struggles with a faulty door during the first lap, team engineer Phil Remington (Ray McKinnon) fixes the door, bashing it with a mallet. Miles catches up with the Ferraris and begins to set lap records. His wife Mollie (Caitriona Balfe) and son Peter (A Quiet Place's Noah Jupe) watch and listen to the action as it unfolds.
Miles. While racing with Ferrari driver Lorenzo Bandini (Francesco Bauco), Miles experiences another brake failure, but the system is replaced during his pit stop. Enzo Ferrari protests the move, but Shelby convinces the race officials that the brake change is legal. Miles and Bandini once again duel on the Mulsanne Straight, but Bandini's engine blows, and Ferrari are completely eliminated from the race. With three Ford teams in the top-three positions, Beebe orders Shelby to have Miles slow down for the other two Fords to catch up with him and provide the press with a three-car photo finish. Miles is initially against this decision, continuing to set new lap records near the end of the race, but decides to let Ford have their way on the final lap. Ultimately, McLaren is declared the winner on a technicality, but Miles is grateful to Shelby for giving him the opportunity to race at Le Mans. Ultimately, McLaren is declared the winner on a technicality, as one of their cars crossed the finish line just ahead. Although devastated by this decision, Miles is grateful to Shelby for giving him the opportunity to race at Le Mans. Two months after Le Mans, Miles is testing the J-car at Riverside International Raceway, Miles experiences another brake failure and is killed in the resulting crash. Six months later, Shelby pays Miles' family a visit, Mollie watches as he gives Peter a wrench that Miles threw at him before winning an SCCA race at Willow Springs in 1963. Ford would continue its winning streak at Le Mans in 1967, 1968, and 1969, becoming the only American manufacturer to win the prestigious race. Miles was posthumously inducted into the Motorsports Hall of Fame of America in 2001. Also starring JJ Field as Roy Lunn, Jack McMullen as Charlie Agapiou, Benjamin Rigby as Bruce McLaren, Alex Gurney as Dan Gurney (playing his own father) and Ben Collins (formerly The Stig in Top Gear) as Denny Hulme. Damon as the man putting everything into making the winning vehicle and Bale as the loose cannon British racer unafraid to say whatever he thinks are both perfectly cast. It is most interesting true story, corporate company Ford wanting to regain their mojo by winning the 24-hour race, conflicting with the maverick petrolheads, fantastic chalk-and-cheese characters. You grow to like the characters in the slower moments, then you go to breakneck speed in the twists and turns of the racetracks, the race sequences are indeed fast paced with nail-biting crashes, all fantastically edited and with terrific sound design, overall it is an exciting and most enjoyable sports drama. It won the Oscars for Best Film Editing, and Best Sound Editing, and it was nominated for Best Motion Picture of the Year, and Best Sound Mixing, and it won the BAFTA for Best Editing, and it was nominated for Best Cinematography, and Best Sound. Very good!"
FORD V FERRARI,5 November 2019,8/10,"I'm no petrolhead. What little knowledge I have of classic cars I gleaned from playing Top Trumps as a kid. I do remember that if you had either the Ford GT40 or a Ferrari card, there was a very good chance of winning the hand, unless, of course, the two cars came up against each other. Then you had to choose wisely.In the mid-'60s, Ford and Ferrari fought it out for real at Le Mans, a road race that lasts almost as long as this film (jk). At a whopping 152 minutes, director James Mangold's biopic is no quick win, but buckle up and sit back for the duration and you will be rewarded with a film that delivers great performances, a gripping tale of determination and courage, and some truly spectacular racing scenes (real or CGI? I couldn't tell).Matt Damon plays car designer Carroll Shelby (the man who gave us the AC Cobra, another good Top Trumps card) who is hired by Ford Motors to help build a car that can beat Ferrari at Le Mans, thereby improving the company's image in the eyes of young Americans and putting the Italians in their place at the same time. Christian Bale is Ken Mills, the man chosen by Shelby to drive the car against the wishes of Ford executive Leo Beebe (Josh Lucas).A classic underdog story, the film follows the team as they design and test the new race-car, experiencing various setbacks along the way (some of which are orchestrated by Beebe, who wants to see Mills fail), before finally making it to France. American viewers will no doubt feel a sense of pride at Ford's remarkable endeavour, but it'll be us Brits who'll be cheering the loudest (at least on the inside), for it is Englishman Ken Miles (a likeable turn from Christian Bale) who is the real hero of the film, pushing himself and the car to the limits.The legendary 24-hour road race itself delivers all the thrills and spills necessary for an edge-of-the-seat finale, with Mills making a mockery of the Ferrari team as promised, but anyone geared up for a feel-good finish will be sorely disappointed, reality rarely being the fairytale we would like it to be. Remaining true to the facts, the film's final lap delivers a double-whammy of a downer that drives home the fact that, sometimes, life just sucks.7.5 out of 10, rounded up to 8 for the hilarious scene in which Shelby takes Henry Ford II (Tracy Letts) for a quick spin (and I do mean quick!)."
FORD V FERRARI,3 March 2020,,"My wife and i watched this at home on DVD from our public library. Excellent picture and realistic racing sounds, but no extras on the disc.While it is based on a historically accurate story many of the scenes and dialog had to be invented but the filmmakers did a superb job to make it interesting. While the movie is long at about 2.5 hours it is never dull. Much credit goes to the two actors in key roles, Damon and Bale who are at the top of their acting games.By the 1960s Ford was established as an automotive giant but Henry Ford II wanted to defeat Ferrari on the tracks. Willing to spend almost unlimited funds he turned to Carroll Shelby, racer and designer who in 1959 became the only second American to win the 24-hour race at Le Mans.Aside from fighting the excessive layers of Ford corporate management, much of the movie regards the relationship between Carroll Shelby (Damon, sounding like a young Tommy Lee Jones) and driver Ken Miles (Bale). Together they accomplished the tasks and propelled Ford racing cars to international fame.A really good movie, an excellent chapter in auto racing and an interestingly told story. For those who want to learn more about the controversial finish in 1966 do a web search for ""Foul play in Ford 1966 Le Mans 24 Hour photo finish?"" to find interesting articles.Also the 2016 documentary called ""24 Hour War"" covers the same subject but with a different focus, including the history of each company and direct input from many who were involved in Ford's project 50 years earlier. Worth a watch if you can find it.As an aside, this movie includes the introduction of the Ford Mustang in the 1960s. That brought back nice memories as my college graduation gift was a gently used 1965 Mustang, red with three black racing stripes down the middle, and with the 289 CI motor with 4-barrel carbs and a 4-on-the-floor shifter. Man that was a nice running car."
FORD V FERRARI,19 November 2019,8/10,"This is made by the filmmaker who previously did a lot to inspire Walk Hard, so it may be redundant to say that this biopic about the Men Who Raced Hard in the 60s has conventional moving parts and mechanisms in its plot and certain (ok most) characters.Aside from an ending that isn't a surprise or shock given how clearly (or blatantly) it's set up in the three-point Set-up/Reminder/Pay-off style in conventional screenwriting, this even has the kid who is there so that some of the grown-ups can explain things involving making some of the turns and, oh, being set on fire and surviving (not to say that this guy Ken Miles didn't have a son I'm sure he did that's not what I'm saying I'm talking about the TEXT of the story for pete's sake). Id even say Josh Lucas is only here because the writers think the stakes of a 24 hour race aren't enough so one needs the Corporate Suit Who Is Against Our Rebel Batman-Driver (and not to say there weren't pencil-pushing hacks at Ford then, I wasn't there and neither were you, but it's a total cliche thru and thru).....YET, There's two things. First, to make a car analogy again because it's fitting, Ford v Ferrari works and moves like a dependable and well-oiled machine and which, not to get off on a long tangent because who the hell has time, would probably please journalists nowadays looking for ""Pizzazz"" with otherwise enthralling events (sorry if you know what Im referring to and I digress on current events), it also has star-actors who get to find subtleties within the little beats of the script and/or where Manhole finds a moment to let it breathe (a pivotal character beat between Ken and Mollie where she speeds like hell to get the bloody truth out of his man ends up being one, and so in the very last scene with Shelby and the kid), fantastic cinematography and editing and a score/song selections that rock immensely, and Tracy Letts (writer of Bug and Killer Joe) hilariously crying like a baby at another key scene in a fast car.Second, the climax threw me for a loop in a way that made me very pleased - especially, as odd timing and weird I won't say luck but happenstance would have it, as this is a former Fox movie but now ""owned"" by Disney - because it speaks to a strong, hard lesson about what can happen in following the Corporate Line. Ken could go one way and be the independent rock star hero he is to himself and his son and a few others, or follow what he's been told will look good for a photo. His decision at first seems like and is deceptively a ""Good"" beat, where it's almost like the movie is saying, ""yeah, sometimes you gotta suck it up and do what they tell you."" But the actual consequence of this turns it on its head, and while the film doesn't hold on it for too long, it still resonates in a world where so many people are told to do something a particular way, and it opens one up to get... Screwed.I don't know if I read into it too much or the way the filmmakers intended, but it puts an excellent bow on the underlying subtext (or flat out text, your pick) about how to get ahead or not get ahead or simply the pitfalls in a world dominated by corporate interests.Oh, and it's a helluva adaptation of Speed Racer and/or Mario Kart, you decide there."
FORD V FERRARI,16 November 2019,,"I have no interest in racing, yet I was still entranced by the captivating races. The film is not just about speed, but about brotherhood, determination and conscience. It's about telling a great story that makes you root for the character in question. I thoroughly enjoyed the film, even though I am not a racing fan at all."
FORD V FERRARI,18 August 2020,10/10,I like the bit where he drove in front of all them people and they honked the horn at him. In also like the bit where they had a punch up and punched the lid of the trash can.
FORD V FERRARI,18 November 2019,8/10,"This is just great! Bale and Damon are really convincing as a pair of ""individuals"" who design and build - with the help of some wooden door wedges - a magnificent feat of motor engineering despite their own personal demons; corporate America - exemplified by a thoroughly odious Josh Lucas and the pretty horrible French weather. Noah Jupe, who plays Bale's son Peter is also superb. The race photography and sound are wonderful - you really do get sucked into the exhilaration of it all. The only thing missing is the smell of the petrol fumes. I was slightly dubious that I could ever want a Ford (think: box, square, dull, Henry Fonda) to defeat a Ferrari (think: sleek. red, classy, James Dean) but in the end, I sort of did. 2½ hours just flies by. Interestingly, there is a distinct paucity of swearing in this film, too. Big screen/sound essential."
FORD V FERRARI,1 September 2021,7/10,"Perhaps Offered as an Alternative and Diversion to the ""Super Hero"" Glut of Movies.This High-Budget, Highly-Professional Piece of Fluff is Based on a ""True Story"" Sliced from Real Life, but that's where the Difference Ends.It Feels and Plays Like a ""Super Hero' Movie in Many Ways.A Cast of A-List Actors Abound, the Style is Hyper-Active and Ultra-Slick, the Emotional Human Energy Matches the Energy of these Mega-Machines that Spawn from a World where a Car Costs $9 Million Dollars.The Ford and Ferrari Motor Company are the Heroes and Villains and the Battleground is a Place where ""Normal"" Folks are Onlookers, Not Participants.It's a Fun Movie with the Best Film-Maker Artists Money can Buy. $100 Million Dollars Worth, and it Shows on the Screen.A Hollywood Product Perfected by the Movie Makers with Algorithms and Focus Groups Spinning the Wheels of Risk v Profit and We're Off to the Races.It's as Disney-Fied as any Marvel or Star-Wars Movie.One of the Tag-Lines is ""You'll Stand Up and Cheer""Everybody Involved in the Creative Process is ""On Their Game"".The Movie has Few Flaws and is Honed and Dumbed-Down for the Least Resistance and Maximum Pavlovian Reaction.That's Why They Know ""You'll Stand Up and Cheer""At the Checkered Flag it is a Winner with Critics and Fans.It Can't be Denied its Glossy and Shiny Appeal.Full of Family Drama, Corporate Intrigue, Zipping and Zooming Mega-Machines Extracting Feel Good, Heart Pounding and Heart Wrenching Entertainment.In the End it Really is......A Super-Hero Movie."
FORD V FERRARI,18 November 2019,10/10,"Ford v Ferrari is an amazing movie, the cinematography is stunning and the acting is so well done. The plot is based off the true story of how Ford motor company enlisted Carroll Shelby to build a racecar capable of beating a Ferrari. Matt Damon and Christian Bale have great chemistry as Shelby and racer Ken Miles. The storyline flows beautifully, the race scenes have stunning visuals and the characters are well played. Thoroughly enjoyable even for non racing enthusiasts."
FORD V FERRARI,23 February 2020,8/10,"It is the early-1960s and Ford Motor Corporation's fortunes are at a low ebb. In order to boost sales, Ford aims to win the Le Mans 24-hour race, a race dominated by Ferrari over the last few years. To head their team they call in Carroll Shelby, who won Le Mans in 1959. He in turn makes Ken Miles his chief test driver. Together they make a formidable team. However, it is not just Ferrari they have to worry about. Office politics and powerplays within Ford are an even greater threat to the success of the project.I did not have high hopes for this movie before watching it. Despite it being nominated for the Best Picture Oscar, it seemed just like a conventional revhead movie. Turns out, it's better than that, far better than that.Director James Mangold crafts a story that is highly engaging and very fast-paced. You wouldn't know the movie is 2 ½ hours long it is so engrossing: the time speeds by. The racing scenes are amazing, capturing the pace, danger and excitement of motor racing. Throw in good performances by Matt Damon and Christian Bale and you have a first-rate movie.Not perfect though. I found the political machinations a bit of a drag and contrived-feeling (even though many of them were true!). While Christian Bale puts in a good performance as Ken Miles, Miles's character is drawn rather stereotypically English, complete with ever-present cups of tea. It seemed a bit trite.Overall: highly entertaining. Don't be put off by the movie's duration: the time whizzes by."
